Station ID,Geogr1,Geogr2,Name,Year,Month,Time,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
23024TEM,0.001579,5.632253,Tema,2016,01,06:00,90,92,62,58,71,85,30,83,85,91,92,92,92,91,91,89,91,92,91,92,92,90,89,88,82,58,74,59,44,64,62
23024TEM,0.001579,5.632253,Tema,2017,01,06:00,88,89,92,89,90,90,94,90,90,94,90,89,91,87,53,89,85,85,93,92,92,92,94,93,92,92,91,91,92,92,91
23024TEM,0.001579,5.632253,Tema,2018,01,06:00,92,65,70,60,56,86,92,91,93,92,92,90,89,92,91,94,92,92,92,92,92,89,91,92,85,89,92,92,92,92,92
23024TEM,0.001579,5.632253,Tema,2019,01,06:00,88,92,92,90,86,89,88,81,90,89,89,89,90,87,91,91,83,89,90,89,85,89,89,90,88,89,89,96,89,92,91
23024TEM,0.001579,5.632253,Tema,2020,01,06:00,86,64,44,48,55,65,73,75,81,85,88,86,88,84,81,92,91,89,91,91,92,87,91,90,81,66,87,88,90,92,91
23024TEM,0.001579,5.632253,Tema,2021,01,06:00,89,89,91,91,90,89,95,88,92,91,92,88,77,90,92,91,85,91,92,91,91,91,92,91,86,85,88,87,92,81,90
23024TEM,0.001579,5.632253,Tema,2022,01,06:00,87,85,86,89,85,89,87,89,85,91,89,89,85,87,91,91,91,92,87,72,49,56,77,91,88,53,84,89,87,92,60
23024TEM,0.001579,5.632253,Tema,2023,01,06:00,66,73,65,72,83,83,89,91,91,91,89,91,91,91,89,89,89,90,90,89,89,87,80,89,89,89,83,89,87,85,91
23024TEM,0.001579,5.632253,Tema,2024,01,06:00,87,87,85,84,84,88,87,86,83,79,86,89,89,91,89,86,89,92,89,88,90,88,92,90,88,89,66,62,83,88,87
23022SAL,-1.0667,5.2,Saltpond,2019,01,06:00,96,97,96,95,96,85,96,95,96,94,96,94,96,94,96,98,94,93,97,95,94,98,96,95,95,95,96,95,94,97,96
23022SAL,-1.0667,5.2,Saltpond,2020,01,06:00,94,84,60,54,79,81,88,89,92,92,94,98,94,92,96,95,96,88,96,98,95,94,97,96,97,94,95,96,97,93,96
23022SAL,-1.0667,5.2,Saltpond,2021,01,06:00,96,96,95,95,96,92,97,96,97,98,97,98,88,93,96,96,94,98,97,94,100,96,97,96,93,96,95,91,96,94,96
23022SAL,-1.0667,5.2,Saltpond,2023,01,06:00,89,96,97,93,93,94,98,96,98,98,98,98,100,96,98,99,99,96,94,95,96,97,94,96,96,98,85,96,95,94,98
23022SAL,-1.0667,5.2,Saltpond,2024,01,06:00,95,96,95,96,96,98,96,98,92,98,96,98,98,98,99,99,99,100,98,99,95,96,93,90,95,98,93,87,93,94,95
23022SAL,-1.0667,5.2,Saltpond,2015,01,06:00,85,81,95,100,96,87,92,87,93,84,69,69,82,83,93,94,97,96,96,95,93,96,90,91,97,96,96,96,96,95,96
23022SAL,-1.0667,5.2,Saltpond,2016,01,06:00,92,97,89,91,80,83,38,67,91,96,95,96,95,95,93,96,96,96,95,94,98,96,98,96,97,87,96,83,78,83,86
23022SAL,-1.0667,5.2,Saltpond,2017,01,06:00,91,94,96,96,95,96,97,95,92,96,96,95,97,97,80,96,91,96,96,96,97,97,97,96,99,98,96,100,98,98,96
23022SAL,-1.0667,5.2,Saltpond,2018,01,06:00,99,98,98,82,87,96,96,96,98,96,98,96,97,98,98,96,96,96,96,98,98,98,98,98,97,96,97,98,90,98,95
23016ACC,-0.168014,5.609834,KIAMO-Accra,2016,01,06:00,88,92,66,64,68,82,15,41,90,92,93,93,90,94,93,88,90,91,91,92,89,92,90,88,81,50,75,61,41,73,60
23016ACC,-0.168014,5.609834,KIAMO-Accra,2017,01,06:00,88,91,92,92,92,92,92,92,91,92,90,89,92,90,53,93,84,86,93,90,92,92,95,94,92,95,93,92,93,92,92
23016ACC,-0.168014,5.609834,KIAMO-Accra,2018,01,06:00,97,82,78,43,62,94,96,93,95,95,96,96,91,95,95,96,96,96,94,96,96,92,94,97,92,92,96,93,95,94,94
23016ACC,-0.168014,5.609834,KIAMO-Accra,2019,01,06:00,92,73,53,47,53,69,72,79,80,92,92,88,92,89,89,95,95,93,95,95,92,92,94,93,91,75,90,92,94,98,96
23016ACC,-0.168014,5.609834,KIAMO-Accra,2021,01,06:00,91,92,92,92,91,89,90,97,96,92,93,89,81,88,91,89,85,92,92,92,92,92,92,92,87,85,92,90,92,82,92
23016ACC,-0.168014,5.609834,KIAMO-Accra,2022,01,06:00,89,89,90,85,86,89,89,92,90,96,89,89,89,88,92,89,91,98,89,92,50,58,77,88,90,45,84,93,92,92,58
23016ACC,-0.168014,5.609834,KIAMO-Accra,2023,01,06:00,66,66,71,69,81,81,91,91,92,92,90,92,92,92,90,92,92,92,84,91,92,89,77,92,92,91,81,87,87,85,90
23016ACC,-0.168014,5.609834,KIAMO-Accra,2024,01,06:00,89,88,88,85,86,89,89,90,88,83,89,90,92,92,91,89,92,93,90,91,92,91,89,92,89,92,70,59,81,87,89
23003TDI,-1.774393,4.893534,Takoradi,2023,01,06:00,95,93,94,85,88,92,95,94,94,96,94,96,94,92,96,94,94,92,94,92,94,96,92,96,95,96,87,96,95,96,96
