Station ID,Geogr1,Geogr2,Name,Year,Month,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
23003TDI,-1.774393,4.893534,Takoradi,2018,01,15:00,70,64,55,64,61,70,75,77,83,76,70,75,76,75,77,80,80,81,74,67,76,75,77,79,83,70,75,79,78,79,76
23003TDI,-1.774393,4.893534,Takoradi,2019,01,15:00,72,68,67,73,57,66,76,74,70,70,68,78,73,76,82,74,74,73,78,72,73,73,79,77,70,79,82,73,76,83,81
23003TDI,-1.774393,4.893534,Takoradi,2020,01,15:00,68,45,45,35,33,55,54,65,70,74,73,69,79,71,74,46,71,79,80,74,74,71,77,72,60,62,73,76,77,74,73
23003TDI,-1.774393,4.893534,Takoradi,2021,01,15:00,78,77,77,76,71,78,85,77,73,73,75,76,64,74,77,77,78,79,78,78,78,81,76,69,66,73,78,78,78,76,66
23002ADA,0.622043,5.777691,Ada,2015,01,15:00,43,61,64,67,31,59,64,66,69,72,66,74,74,40,60,75,75,78,78,80,75,77,76,81,73,80,75,77,75,75,78
23002ADA,0.622043,5.777691,Ada,2016,01,15:00,74,54,51,53,53,26,53,61,69,72,74,74,76,82,74,82,80,77,73,76,73,75,74,71,40,64,46,30,50,52,67
23002ADA,0.622043,5.777691,Ada,2017,01,15:00,73,79,77,77,80,77,82,77,81,79,84,82,82,38,74,82,76,83,81,85,85,86,82,69,82,80,79,85,79,82,79
23002ADA,0.622043,5.777691,Ada,2018,01,15:00,59,58,53,51,67,73,81,81,83,79,76,81,77,78,80,84,84,85,85,82,85,82,81,84,85,81,85,84,83,86,84
23002ADA,0.622043,5.777691,Ada,2021,01,15:00,75,78,77,76,77,77,85,85,80,87,86,81,77,87,84,84,83,87,88,79,86,79,87,76,74,79,83,79,80,78,75
23001AXM,-2.2333,4.8667,Axim,2015,01,15:00,68,61,69,72,62,70,71,61,59,54,40,31,33,62,53,69,73,71,71,71,70,97,73,75,85,75,75,74,74,71,72
23001AXM,-2.2333,4.8667,Axim,2016,01,15:00,75,64,70,66,62,30,32,55,71,69,72,72,73,71,75,76,74,76,65,77,76,76,72,69,72,75,71,51,27,55,71
23001AXM,-2.2333,4.8667,Axim,2017,01,15:00,72,69,72,74,72,74,75,69,78,72,76,69,76,51,67,81,82,81,75,67,78,70,76,72,74,77,78,75,71,71,71
23001AXM,-2.2333,4.8667,Axim,2018,01,15:00,73,72,69,67,51,72,72,76,92,75,69,74,72,72,75,75,78,78,78,76,75,75,80,77,81,75,76,79,80,75,73
23001AXM,-2.2333,4.8667,Axim,2019,01,15:00,70,68,68,75,63,69,79,71,66,70,71,76,67,61,74,76,77,69,73,76,76,76,71,76,78,77,81,74,76,76,76
23001AXM,-2.2333,4.8667,Axim,2020,01,15:00,70,62,43,35,43,51,54,70,70,72,72,69,85,74,70,73,71,73,72,76,74,73,71,70,65,65,68,82,73,67,68
23001AXM,-2.2333,4.8667,Axim,2023,01,15:00,70,72,54,57,71,73,73,73,73,74,74,71,69,68,67,69,68,72,73,76,72,73,72,76,73,72,76,73,72,77,76
23001AXM,-2.2333,4.8667,Axim,2016,01,15:00,75,64,70,66,62,30,32,55,71,69,72,72,73,71,75,76,74,76,65,77,76,76,72,69,72,75,71,51,27,55,71
23001AXM,-2.2333,4.8667,Axim,2017,01,15:00,72,69,72,74,72,74,75,69,78,72,76,69,76,51,67,81,82,81,75,67,78,70,76,72,74,77,78,75,71,71,71
23001AXM,-2.2333,4.8667,Axim,2018,01,15:00,73,72,69,67,51,72,72,76,92,75,69,74,72,72,75,75,78,78,78,76,75,75,80,77,81,75,76,79,80,75,73
23001AXM,-2.2333,4.8667,Axim,2019,01,15:00,70,68,68,75,63,69,79,71,66,70,71,76,67,61,74,76,77,69,73,76,76,76,71,76,78,77,81,74,76,76,76
23001AXM,-2.2333,4.8667,Axim,2020,01,15:00,70,62,43,35,43,51,54,70,70,72,72,69,85,74,70,73,71,73,72,76,74,73,71,70,65,65,68,82,73,67,68
23001AXM,-2.2333,4.8667,Axim,2023,01,15:00,70,72,54,57,71,73,73,73,73,74,74,71,69,68,67,69,68,72,73,76,72,73,72,76,73,72,76,73,72,77,76
23001AXM,-2.2333,4.8667,Axim,2015,01,15:00,68,61,69,72,62,70,71,61,59,54,40,31,33,62,53,69,73,71,71,71,70,97,73,75,85,75,75,74,74,71,72
22050KDA,-0.25,6.0833,Koforidua,2015,01,15:00,32,31,45,38,33,34,31,30,32,29,27,28,30,24,30,38,43,50,47,47,53,54,29,71,59,93,54,48,48,60,58
